"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"65","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202203","18","20,100","-","14","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"66","부산광역시 기장군 기장읍 동부리","158-3","0158","0003","서린에코빌아파트","62.5950","202203","18","15,000","-","3","-","-","1989","차성로326번길 19","-","중개거래","부산 기장군","-"
"67","부산광역시 기장군 기장읍 동부리","159-1","0159","0001","동보빌라","84.7700","202203","15","11,200","-","5","-","-","1991","차성로326번길 14","20220331","중개거래","부산 기장군","-"
"68","부산광역시 기장군 기장읍 동부리","377-2","0377","0002","동산백조","71.6100","202203","12","13,700","-","1","-","-","1991","차성동로142번길 12-8","-","중개거래","부산 기장군","-"
"69","부산광역시 기장군 기장읍 동부리","377-2","0377","0002","동산백조","71.6100","202203","09","15,000","-","2","-","-","1991","차성동로142번길 12-8","-","중개거래","부산 기장군","-"
"70","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202203","08","22,300","-","10","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"71","부산광역시 기장군 기장읍 동부리","159-1","0159","0001","동보빌라","84.7700","202203","08","9,700","-","5","-","-","1991","차성로326번길 14","-","중개거래","부산 기장군","-"
"72","부산광역시 기장군 기장읍 동부리","377-1","0377","0001","부전베스트","84.7500","202203","07","12,500","-","3","-","-","1990","차성동로142번길 12-2","-","중개거래","부산 기장군","-"
"73","부산광역시 기장군 기장읍 동부리","395-1","0395","0001","남경캐슬","84.6350","202203","02","16,500","-","2","-","-","2013","배산로68번길 5","-","중개거래","부산 기장군","-"
"74","부산광역시 기장군 기장읍 동부리","377-1","0377","0001","부전베스트","84.7500","202202","25","16,000","-","3","-","-","1990","차성동로142번길 12-2","-","중개거래","부산 기장군","-"
